variavel,n_obs,metodo,criterio,vencedor,score,n_flags,precision,recall,f1,jaccard_medio
N(ppm N),21,Percentil_1-99,INSUFICIENTE,False,,0,,,,
N(ppm N),21,Tukey_adj,INSUFICIENTE,False,,0,,,,
P(ppm P),18,IQR_1.5,INSUFICIENTE,False,,0,,,,
P(ppm P),18,IQR_3.0,INSUFICIENTE,False,,0,,,,
P(ppm P),18,Z-score,INSUFICIENTE,False,,0,,,,
P(ppm P),18,MAD,INSUFICIENTE,False,,0,,,,
P(ppm P),18,Percentil_1-99,INSUFICIENTE,False,,0,,,,
P(ppm P),18,Tukey_adj,INSUFICIENTE,False,,0,,,,
Cond.(uS/cm),189,IQR_1.5,JACCARD,False,0.38333333333333336,6,,,,0.38333333333333336
Cond.(uS/cm),189,IQR_3.0,JACCARD,False,0.39,1,,,,0.39
Cond.(uS/cm),189,Z-score,JACCARD,True,0.4333333333333333,3,,,,0.4333333333333333
Cond.(uS/cm),189,MAD,JACCARD,False,0.4238095238095238,5,,,,0.4238095238095238
Cond.(uS/cm),189,Percentil_1-99,JACCARD,False,0.28714285714285714,4,,,,0.28714285714285714
Cond.(uS/cm),189,Tukey_adj,JACCARD,False,0.39,1,,,,0.39
Amonia(mg/l),47,IQR_1.5,CONAMA_F1,False,0.0,0,0.0,0.0,0.0,
Amonia(mg/l),47,IQR_3.0,CONAMA_F1,False,0.0,0,0.0,0.0,0.0,
Amonia(mg/l),47,Z-score,CONAMA_F1,False,0.0,0,0.0,0.0,0.0,
Amonia(mg/l),47,MAD,CONAMA_F1,False,0.0,0,0.0,0.0,0.0,
Amonia(mg/l),47,Percentil_1-99,CONAMA_F1,True,0.07692307692307693,2,0.5,0.041666666666666664,0.07692307692307693,
Amonia(mg/l),47,Tukey_adj,CONAMA_F1,False,0.0,0,0.0,0.0,0.0,
Surfact.(mg/l),1,IQR_1.5,INSUFICIENTE,False,,0,,,,
Surfact.(mg/l),1,IQR_3.0,INSUFICIENTE,False,,0,,,,
Surfact.(mg/l),1,Z-score,INSUFICIENTE,False,,0,,,,
Surfact.(mg/l),1,MAD,INSUFICIENTE,False,,0,,,,
Surfact.(mg/l),1,Percentil_1-99,INSUFICIENTE,False,,0,,,,
Surfact.(mg/l),1,Tukey_adj,INSUFICIENTE,False,,0,,,,
Cianobacteria(cel/ml),178,IQR_1.5,CONAMA_F1,False,0.5,15,0.3333333333333333,1.0,0.5,
Cianobacteria(cel/ml),178,IQR_3.0,CONAMA_F1,True,1.0,5,1.0,1.0,1.0,
Cianobacteria(cel/ml),178,Z-score,CONAMA_F1,False,0.7499999999999999,3,1.0,0.6,0.7499999999999999,
Cianobacteria(cel/ml),178,MAD,CONAMA_F1,False,0.37037037037037035,22,0.22727272727272727,1.0,0.37037037037037035,
Cianobacteria(cel/ml),178,Percentil_1-99,CONAMA_F1,False,0.4444444444444445,4,0.5,0.4,0.4444444444444445,
Cianobacteria(cel/ml),178,Tukey_adj,CONAMA_F1,False,0.33333333333333337,1,1.0,0.2,0.33333333333333337,
S.T.(mg/l),1,IQR_1.5,INSUFICIENTE,False,,0,,,,
S.T.(mg/l),1,IQR_3.0,INSUFICIENTE,False,,0,,,,
S.T.(mg/l),1,Z-score,INSUFICIENTE,False,,0,,,,
S.T.(mg/l),1,MAD,INSUFICIENTE,False,,0,,,,
S.T.(mg/l),1,Percentil_1-99,INSUFICIENTE,False,,0,,,,
S.T.(mg/l),1,Tukey_adj,INSUFICIENTE,False,,0,,,,
C.T.(NMP/100ml),75,IQR_1.5,JACCARD,False,0.41,8,,,,0.41
C.T.(NMP/100ml),75,IQR_3.0,JACCARD,False,0.425,5,,,,0.425
C.T.(NMP/100ml),75,Z-score,JACCARD,True,0.47000000000000003,2,,,,0.47000000000000003
C.T.(NMP/100ml),75,MAD,JACCARD,False,0.36,10,,,,0.36
C.T.(NMP/100ml),75,Percentil_1-99,JACCARD,False,0.285,1,,,,0.285
C.T.(NMP/100ml),75,Tukey_adj,JACCARD,False,0.4699999999999999,2,,,,0.4699999999999999
C.F.(NMP/100ml),154,IQR_1.5,CONAMA_F1,False,0.25,20,1.0,0.14285714285714285,0.25,
C.F.(NMP/100ml),154,IQR_3.0,CONAMA_F1,False,0.21656050955414013,17,1.0,0.12142857142857143,0.21656050955414013,
C.F.(NMP/100ml),154,Z-score,CONAMA_F1,False,0.05555555555555556,4,1.0,0.02857142857142857,0.05555555555555556,
C.F.(NMP/100ml),154,MAD,CONAMA_F1,True,0.3431952662721894,29,1.0,0.20714285714285716,0.3431952662721894,
C.F.(NMP/100ml),154,Percentil_1-99,CONAMA_F1,False,0.02777777777777778,4,0.5,0.014285714285714285,0.02777777777777778,
C.F.(NMP/100ml),154,Tukey_adj,CONAMA_F1,False,0.05369127516778523,9,0.4444444444444444,0.02857142857142857,0.05369127516778523,
CLOROFILA(ug/l),177,IQR_1.5,CONAMA_F1,True,0.2619047619047619,11,1.0,0.1506849315068493,0.2619047619047619,
CLOROFILA(ug/l),177,IQR_3.0,CONAMA_F1,False,0.05333333333333332,2,1.0,0.0273972602739726,0.05333333333333332,
CLOROFILA(ug/l),177,Z-score,CONAMA_F1,False,0.05333333333333332,2,1.0,0.0273972602739726,0.05333333333333332,
CLOROFILA(ug/l),177,MAD,CONAMA_F1,False,0.2619047619047619,11,1.0,0.1506849315068493,0.2619047619047619,
CLOROFILA(ug/l),177,Percentil_1-99,CONAMA_F1,False,0.051948051948051945,4,0.5,0.0273972602739726,0.051948051948051945,
CLOROFILA(ug/l),177,Tukey_adj,CONAMA_F1,False,0.05333333333333332,2,1.0,0.0273972602739726,0.05333333333333332,
F(ppm F),156,IQR_1.5,JACCARD (CONAMA sem violação),False,0.2375,16,,,,0.2375
F(ppm F),156,IQR_3.0,JACCARD (CONAMA sem violação),False,0.0,0,,,,0.0
F(ppm F),156,Z-score,JACCARD (CONAMA sem violação),True,0.4253787878787879,3,,,,0.4253787878787879
F(ppm F),156,MAD,JACCARD (CONAMA sem violação),False,0.4253787878787879,3,,,,0.4253787878787879
F(ppm F),156,Percentil_1-99,JACCARD (CONAMA sem violação),False,0.328030303030303,2,,,,0.328030303030303
F(ppm F),156,Tukey_adj,JACCARD (CONAMA sem violação),False,0.28295454545454546,11,,,,0.28295454545454546
