data,Ano,Mes,COR(ppm Pt Co),TURB.(FTU),pH,O.C.(ppm O2),O.D.(ppm O2),Cl-(ppm Cl-),DUR.(ppm CaCO3),Fe(ppm Fe),Mn(mg/l),Cond.(uS/cm),flag_IQR,flag_MAD,flag_IForest,flag_LOF,flag_KNN,flag_Ensemble,n_metodos,n_violacoes_conama,n_violacoes_sem_indicativos
2014-01-01,2014,Jan,130.0,114.0,7.5,6.7,2.7,56.0,51.0,2.09,0.24,328.0,False,False,False,False,False,False,0,7,6
2014-02-01,2014,Fev,123.0,15.0,7.9,12.1,2.5,89.0,85.0,1.67,0.2,659.0,True,True,False,False,False,False,2,6,5
2014-03-01,2014,Mar,60.0,29.0,7.5,8.5,3.2,50.0,59.0,1.16,0.36,376.0,True,True,False,False,False,False,2,5,4
2014-04-01,2014,Abr,50.0,11.0,7.5,8.8,2.7,61.0,70.0,0.99,0.21,483.0,False,False,False,False,False,False,0,5,4
2014-05-01,2014,Mai,54.0,16.0,7.7,8.9,2.2,58.0,113.0,1.03,0.26,508.0,True,True,False,False,False,False,2,5,4
2014-06-01,2014,Jun,46.0,10.0,7.5,9.9,1.8,77.0,64.0,1.34,0.19,545.0,False,False,False,False,False,False,0,4,3
2014-07-01,2014,Jul,75.0,13.0,7.5,12.0,1.4,131.0,92.0,0.7,0.18,786.0,True,True,True,True,True,True,6,5,4
2014-08-01,2014,Ago,98.0,25.0,7.7,27.9,0.6,117.0,100.0,0.72,0.25,916.0,True,True,True,True,True,True,6,5,4
2014-09-01,2014,Set,89.0,30.0,7.9,22.2,1.3,118.0,95.0,1.42,0.37,819.0,True,True,True,True,True,True,6,6,5
2014-10-01,2014,Out,148.0,26.0,7.9,13.1,2.2,233.0,97.0,1.03,0.18,1098.0,True,True,True,True,True,True,6,6,5
2014-11-01,2014,Nov,259.0,119.0,7.5,11.6,2.7,215.0,91.0,3.7,0.41,763.0,True,True,True,True,True,True,6,6,5
2014-12-01,2014,Dez,102.0,49.0,7.7,11.0,3.2,99.0,78.0,1.68,0.16,718.0,True,True,False,False,False,False,2,6,5
2015-01-01,2015,Jan,95.0,57.0,7.5,8.3,3.0,55.0,60.0,2.24,0.22,473.0,False,False,False,False,False,False,0,6,5
2015-02-01,2015,Fev,224.0,224.0,7.3,8.0,3.1,40.0,53.0,3.97,0.28,303.0,True,True,False,False,False,False,2,6,5
2015-03-01,2015,Mar,158.0,64.0,7.3,10.5,3.2,42.0,48.0,3.06,0.18,262.0,False,False,False,False,False,False,0,5,4
2015-04-01,2015,Abr,60.0,16.0,7.4,9.0,2.6,50.0,49.0,1.55,0.15,259.0,False,False,False,False,False,False,0,4,3
2015-05-01,2015,Mai,76.0,11.0,7.3,8.0,2.5,46.0,52.0,2.0,0.13,300.0,False,False,False,False,False,False,0,5,4
